V	FIX.5.0SP2
X	86	899	0	29	0
X	86	900	0	30	0
X	86	901	0	31	0
X	86	TrdRegTimestamps	0	32	0
X	86	54	0	33	0
X	86	MiscFeesGrp	0	34	0
X	86	44	0	39	0
X	86	423	0	40	0
X	86	159	0	41	0
X	86	920	0	42	0
X	86	921	0	43	0
X	86	922	0	44	0
X	86	SpreadOrBenchmarkCurveData	0	45	0
X	86	Stipulations	0	46	0
X	86	SettlInstructionsData	0	47	0
X	86	336	0	48	0
X	86	625	0	49	0
X	86	716	0	50	0
X	86	717	0	51	0
X	86	715	0	52	0
X	86	58	0	53	0
X	86	354	0	54	0
X	86	355	0	55	0
X	86	StandardTrailer	0	56	1
X	87	StandardHeader	0	1	1
X	87	909	0	2	1
X	87	CollInqQualGrp	0	3	0
X	87	263	0	5	0
X	87	725	0	6	0
X	87	726	0	7	0
X	87	Parties	0	8	0
X	87	1	0	9	0
X	87	581	0	10	0
X	87	11	0	11	0
X	87	37	0	12	0
X	87	198	0	13	0
X	87	526	0	14	0
X	87	ExecCollGrp	0	15	0
X	87	TrdCollGrp	0	17	0
X	87	Instrument	0	20	0
X	87	FinancingDetails	0	21	0
X	87	64	0	22	0
X	87	53	0	23	0
X	87	854	0	24	0
X	87	15	0	25	0
X	87	InstrmtLegGrp	0	26	0
X	87	UndInstrmtGrp	0	28	0
X	87	899	0	30	0
X	87	900	0	31	0
X	87	901	0	32	0
X	87	TrdRegTimestamps	0	33	0
X	87	54	0	34	0
X	87	44	0	35	0
X	87	423	0	36	0
X	87	159	0	37	0
X	87	920	0	38	0
X	87	921	0	39	0
X	87	922	0	40	0
X	87	SpreadOrBenchmarkCurveData	0	41	0
X	87	Stipulations	0	42	0
X	87	SettlInstructionsData	0	43	0
X	87	336	0	44	0
X	87	625	0	45	0
X	87	716	0	46	0
X	87	717	0	47	0
X	87	715	0	48	0
X	87	58	0	49	0
X	87	354	0	50	0
X	87	355	0	51	0
X	87	StandardTrailer	0	52	1
X	88	StandardHeader	0	1	1
X	88	935	0	2	1
X	88	933	0	3	1
X	88	CompIDReqGrp	0	4	0
X	88	StandardTrailer	0	9	1
X	89	StandardHeader	0	1	1
X	89	937	0	2	1
X	89	933	0	3	0
X	89	932	0	4	1
X	89	934	0	5	0
X	89	CompIDStatGrp	0	6	1
X	89	StandardTrailer	0	13	1
X	9	ApplicationSequenceControl	0	0	0
X	9	961	0	0	0
X	9	880	0	0	0
X	9	70	0	0	0
X	9	PreAllocGrp	0	0	0
X	9	574	0	0	0
X	9	1115	0	0	0
X	9	1093	0	0	0
X	9	1092	0	0	0
X	9	TriggeringInstruction	0	0	0
X	9	1095	0	0	0
X	9	StrategyParametersGrp	0	0	0
X	9	1057	0	0	0
X	9	1091	0	0	0
X	9	1056	0	0	0
X	9	1071	0	0	0
X	9	1361	0	0	0
X	9	893	0	0	0
X	9	FillsGrp	0	0	0
X	9	1089	0	0	0
X	9	1090	0	0	0
X	9	DisplayInstruction	0	0	0
X	9	1380	0	0	0
X	9	1028	0	0	0
X	9	1029	0	0	0
X	9	1030	0	0	0
X	9	1031	0	0	0
X	9	1032	0	0	0
X	9	TrdRegTimestamps	0	0	0
X	9	1188	0	0	0
X	9	1189	0	0	0
X	9	1190	0	0	0
X	9	811	0	0	0
X	9	RateSource	0	0	0
X	9	StandardHeader	0	1	1
X	9	37	0	2	1
X	9	198	0	3	0
X	9	526	0	4	0
X	9	527	0	5	0
X	9	11	0	6	0
X	9	41	0	7	0
X	9	583	0	8	0
X	9	693	0	9	0
X	9	790	0	10	0
X	9	584	0	11	0
X	9	911	0	12	0
X	9	912	0	13	0
X	9	Parties	0	14	0
X	9	229	0	15	0
X	9	ContraGrp	0	16	0
X	9	66	0	22	0
X	9	548	0	23	0
X	9	551	0	24	0
X	9	549	0	25	0
X	9	17	0	26	1
X	9	19	0	27	0
X	9	150	0	28	1
X	9	39	0	29	1
X	9	636	0	30	0
X	9	103	0	31	0
X	9	378	0	32	0
X	9	1	0	33	0
X	9	660	0	34	0
X	9	581	0	35	0
X	9	589	0	36	0
X	9	590	0	37	0
X	9	591	0	38	0
X	9	63	0	39	0
X	9	64	0	40	0
X	9	544	0	41	0
X	9	635	0	42	0
X	9	Instrument	0	43	1
X	9	FinancingDetails	0	44	0
X	9	UndInstrmtGrp	0	45	0
X	9	54	0	47	1
X	9	Stipulations	0	48	0
X	9	854	0	49	0
X	9	OrderQtyData	0	50	0
X	9	40	0	51	0
X	9	423	0	52	0
X	9	44	0	53	0
X	9	99	0	54	0
X	9	PegInstructions	0	55	0
X	9	DiscretionInstructions	0	56	0
X	9	839	0	57	0
X	9	845	0	58	0
X	9	847	0	59	0
X	9	848	0	60	0
X	9	849	0	61	0
X	9	850	0	62	0
X	9	15	0	63	0
X	9	376	0	64	0
X	9	377	0	65	0
X	9	59	0	66	0
X	9	168	0	67	0
X	9	432	0	68	0
X	9	126	0	69	0
X	9	18	0	70	0
X	9	528	0	71	0
X	9	529	0	72	0
X	9	582	0	73	0
X	9	32	0	74	0
X	9	652	0	75	0
X	9	31	0	76	0
X	9	651	0	77	0
X	9	669	0	78	0
X	9	194	0	79	0
X	9	195	0	80	0
X	9	30	0	81	0
X	9	336	0	82	0
X	9	625	0	83	0
X	9	943	0	84	0
X	9	29	0	85	0
X	9	151	0	86	1
X	9	14	0	87	1
X	9	6	0	88	0
X	9	424	0	89	0
X	9	425	0	90	0
X	9	426	0	91	0
X	9	427	0	92	0
X	9	75	0	93	0
X	9	60	0	94	0
X	9	113	0	95	0
X	9	CommissionData	0	96	0
X	9	SpreadOrBenchmarkCurveData	0	97	0
X	9	YieldData	0	98	0
X	9	381	0	99	0
X	9	157	0	100	0
X	9	230	0	101	0
X	9	158	0	102	0
X	9	159	0	103	0
X	9	738	0	104	0
X	9	920	0	105	0
X	9	921	0	106	0
X	9	922	0	107	0
X	9	258	0	108	0
X	9	259	0	109	0
X	9	260	0	110	0
X	9	238	0	111	0
X	9	237	0	112	0
X	9	118	0	113	0
X	9	119	0	114	0
X	9	120	0	115	0
X	9	155	0	116	0
X	9	156	0	117	0
X	9	21	0	118	0
X	9	110	0	119	0
X	9	111	0	120	0
X	9	77	0	121	0
X	9	210	0	122	0
X	9	775	0	123	0
X	9	58	0	124	0
X	9	354	0	125	0
X	9	355	0	126	0
X	9	193	0	127	0
X	9	192	0	128	0
X	9	641	0	129	0
X	9	442	0	130	0
X	9	480	0	131	0
X	9	481	0	132	0
X	9	513	0	133	0
X	9	494	0	134	0
X	9	483	0	135	0
X	9	515	0	136	0
X	9	484	0	137	0
X	9	485	0	138	0
X	9	638	0	139	0
X	9	639	0	140	0
X	9	851	0	141	0
X	9	ContAmtGrp	0	142	0
X	9	InstrmtLegExecGrp	0	146	0
X	9	797	0	159	0
X	9	MiscFeesGrp	0	160	0
X	9	StandardTrailer	0	165	1
X	90	1400	0	0	0
X	90	1401	0	0	0
X	90	1402	0	0	0
X	90	1403	0	0	0
X	90	1404	0	0	0
X	90	StandardHeader	0	1	1
X	90	923	0	2	1
X	90	924	0	3	1
X	90	553	0	4	1
X	90	554	0	5	0
X	90	925	0	6	0
X	90	95	0	7	0
X	90	96	0	8	0
X	90	StandardTrailer	0	9	1
X	91	StandardHeader	0	1	1
X	91	923	0	2	1
X	91	553	0	3	1
X	91	926	0	4	0
X	91	927	0	5	0
X	91	StandardTrailer	0	6	1
X	92	StandardHeader	0	1	1
X	92	909	0	2	1
X	92	945	0	3	1
X	92	946	0	4	0
X	92	CollInqQualGrp	0	5	0
X	92	911	0	7	0
X	92	Parties	0	8	0
X	92	1	0	9	0
X	92	581	0	10	0
X	92	11	0	11	0
X	92	37	0	12	0
X	92	198	0	13	0
X	92	526	0	14	0
X	92	ExecCollGrp	0	15	0
X	92	TrdCollGrp	0	17	0
X	92	Instrument	0	20	0
X	92	FinancingDetails	0	21	0
X	92	64	0	22	0
X	92	53	0	23	0
X	92	854	0	24	0
X	92	15	0	25	0
X	92	InstrmtLegGrp	0	26	0
X	92	UndInstrmtGrp	0	28	0
X	92	336	0	30	0
X	92	625	0	31	0
X	92	716	0	32	0
X	92	717	0	33	0
X	92	715	0	34	0
X	92	725	0	35	0
X	92	726	0	36	0
X	92	58	0	37	0
X	92	354	0	38	0
X	92	355	0	39	0
X	92	StandardTrailer	0	40	1
X	93	StandardHeader	0	1	1
X	93	859	0	2	1
X	93	773	0	3	1
X	93	OrdAllocGrp	0	4	0
X	93	70	0	14	0
X	93	793	0	15	0
X	93	467	0	16	0
X	93	60	0	17	1
X	93	79	0	18	0
X	93	661	0	19	0
X	93	798	0	20	0
X	93	58	0	21	0
X	93	354	0	22	0
X	93	355	0	23	0
X	93	StandardTrailer	0	24	1
X	94	ApplicationSequenceControl	0	0	0
X	94	977	0	0	1
X	94	60	0	0	0
X	94	978	0	0	0
X	94	979	0	0	0
X	94	715	0	0	1
X	94	Parties	0	0	1
X	94	ExpirationQty	0	0	1
X	94	Instrument	0	0	1
X	94	UndInstrmtGrp	0	0	0
X	94	354	0	0	0
X	94	355	0	0	0
X	94	StandardHeader	0	1	1
X	94	58	0	2	0
X	94	StandardTrailer	0	10	1
X	95	ApplicationSequenceControl	0	0	0
X	95	964	0	0	0
X	95	320	0	0	0
X	95	322	0	0	0
X	95	323	0	0	0
X	95	715	0	0	0
X	95	980	0	0	0
X	95	292	0	0	0
X	95	Instrument	0	0	0
X	95	InstrumentExtension	0	0	0
X	95	UndInstrmtGrp	0	0	0
X	95	15	0	0	0
X	95	58	0	0	0
X	95	354	0	0	0
X	95	355	0	0	0
X	95	Stipulations	0	0	0
X	95	InstrmtLegGrp	0	0	0
X	95	SpreadOrBenchmarkCurveData	0	0	0
X	95	YieldData	0	0	0
X	95	MarketSegmentGrp	0	0	0
X	95	StandardHeader	0	1	1
X	95	60	0	3	0
X	95	StandardTrailer	0	10	1
X	96	ApplicationSequenceControl	0	0	0
X	96	964	0	0	0
X	96	320	0	0	0
X	96	322	0	0	0
X	96	560	0	0	0
X	96	393	0	0	0
X	96	715	0	0	0
X	96	980	0	0	0
X	96	292	0	0	0
X	96	1301	0	0	0
X	96	1300	0	0	0
X	96	893	0	0	0
X	96	1465	0	0	0
X	96	1466	0	0	0
X	96	1467	0	0	0
X	96	1468	0	0	0
X	96	1469	0	0	0
X	96	1470	0	0	0
X	96	1471	0	0	0
X	96	60	0	0	0
X	96	StandardHeader	0	1	1
X	96	SecLstUpdRelSymGrp	0	2	0
X	96	StandardTrailer	0	10	1
X	97	721	0	0	1
X	97	724	0	0	0
X	97	715	0	0	1
X	97	716	0	0	0
X	97	714	0	0	0
X	97	Parties	0	0	1
X	97	PositionQty	0	0	1
X	97	InstrmtGrp	0	0	0
X	97	730	0	0	0
X	97	StandardHeader	0	1	1
X	97	734	0	2	0
X	97	StandardTrailer	0	10	1
X	98	PositionAmountData	0	0	0
X	98	819	0	0	0
X	98	715	0	0	0
X	98	828	0	0	0
X	98	829	0	0	0
X	98	582	0	0	0
X	98	578	0	0	0
X	98	442	0	0	0
X	98	1011	0	0	0
X	98	991	0	0	0
X	98	StandardHeader	0	1	1
X	98	70	0	2	1
X	98	71	0	3	1
X	98	626	0	4	1
X	98	793	0	5	0
X	98	72	0	6	0
X	98	796	0	7	0
X	98	808	0	8	0
X	98	196	0	9	0
X	98	197	0	10	0
X	98	466	0	11	0
X	98	857	0	12	0
X	98	OrdAllocGrp	0	13	0
X	98	ExecAllocGrp	0	23	0
X	98	570	0	30	0
X	98	700	0	31	0
X	98	574	0	32	0
X	98	54	0	33	1
X	98	Instrument	0	34	1
X	98	InstrumentExtension	0	35	0
X	98	FinancingDetails	0	36	0
X	98	UndInstrmtGrp	0	37	0
X	98	InstrmtLegGrp	0	39	0
X	98	53	0	41	1
X	98	854	0	42	0
X	98	30	0	43	0
X	98	229	0	44	0
X	98	336	0	45	0
X	98	625	0	46	0
X	98	423	0	47	0
X	98	6	0	48	0
X	98	860	0	49	0
X	98	SpreadOrBenchmarkCurveData	0	50	0
X	98	15	0	51	0
X	98	74	0	52	0
X	98	Parties	0	53	0
X	98	75	0	54	1
X	98	60	0	55	0
X	98	63	0	56	0
X	98	64	0	57	0
X	98	775	0	58	0
X	98	381	0	59	0
X	98	238	0	60	0
X	98	237	0	61	0
X	98	118	0	62	0
X	98	77	0	63	0
X	98	754	0	64	0
X	98	58	0	65	0
X	98	354	0	66	0
X	98	355	0	67	0
X	98	157	0	68	0
X	98	158	0	69	0
X	98	159	0	70	0
X	98	540	0	71	0
X	98	738	0	72	0
X	98	920	0	73	0
X	98	921	0	74	0
X	98	922	0	75	0
X	98	650	0	76	0
X	98	Stipulations	0	77	0
X	98	YieldData	0	78	0
X	98	892	0	79	0
X	98	893	0	80	0
X	98	AllocGrp	0	81	0
X	98	StandardTrailer	0	117	1
X	99	StandardHeader	0	1	1
X	99	37	0	2	1
X	99	198	0	3	0
X	99	11	0	4	0
X	99	1036	0	5	1
X	99	17	0	6	1
X	99	127	0	7	0
X	99	Instrument	0	8	1
X	99	UndInstrmtGrp	0	9	0
X	99	InstrmtLegGrp	0	10	0
X	99	54	0	11	1
X	99	OrderQtyData	0	12	1
X	99	32	0	13	0
X	99	31	0	14	0
X	99	423	0	15	0
X	99	669	0	16	0
X	99	14	0	17	0
X	99	6	0	18	0
X	99	58	0	19	0
X	99	354	0	20	0
X	99	355	0	21	0
X	99	StandardTrailer	0	22	1
